=== uv sync start Sat Sep  6 04:26:02 UTC 2025 ===
=== uv install end Sat Sep  6 04:35:47 UTC 2025 ===
=== experiment start Sat Sep  6 04:35:47 UTC 2025 ===
Loading dataset Cora – 3.26s
Sinkhorn curvature – 1.99s

===== Variant curvada_2 =====
Epoch   60 | loss 1.5189 | val 0.4200 | test 0.3850
Epoch   70 | loss 1.1088 | val 0.6620 | test 0.5830
Epoch   80 | loss 0.8738 | val 0.6920 | test 0.6210
Epoch   90 | loss 0.7622 | val 0.7140 | test 0.6340
Epoch  100 | loss 0.6677 | val 0.7660 | test 0.6810
Epoch  110 | loss 0.6004 | val 0.7840 | test 0.6950
Epoch  120 | loss 0.5538 | val 0.7920 | test 0.7070
Epoch  130 | loss 0.5024 | val 0.8520 | test 0.7660
Epoch  140 | loss 0.4774 | val 0.8580 | test 0.7660
Epoch  150 | loss 0.4609 | val 0.8620 | test 0.7690
Epoch  160 | loss 0.4513 | val 0.8640 | test 0.7680
Epoch  170 | loss 0.4458 | val 0.8640 | test 0.7680
Epoch  180 | loss 0.4429 | val 0.8620 | test 0.7680
Epoch  190 | loss 0.4417 | val 0.8620 | test 0.7680
Epoch  200 | loss 0.4415 | val 0.8620 | test 0.7680
Epoch   10 | loss 1.9792 | val 0.3560 | test 0.3530
Epoch   20 | loss 1.4172 | val 0.4400 | test 0.4030
Epoch   30 | loss 4.8611 | val 0.3000 | test 0.3080
Epoch   40 | loss 1.5542 | val 0.5400 | test 0.4670
Epoch   50 | loss 1.9807 | val 0.3040 | test 0.2910
Epoch   60 | loss 1.4020 | val 0.4740 | test 0.4230
Epoch   70 | loss 2.4868 | val 0.1340 | test 0.1120
Epoch   80 | loss 1.6429 | val 0.4540 | test 0.4350
Epoch   90 | loss 1.3863 | val 0.4740 | test 0.4390
Epoch  100 | loss 0.9842 | val 0.7420 | test 0.7060
Epoch  110 | loss 0.6378 | val 0.8280 | test 0.7470
Epoch  120 | loss 0.5468 | val 0.8440 | test 0.7810
Epoch  130 | loss 0.4876 | val 0.8700 | test 0.7710
Epoch  140 | loss 0.4574 | val 0.8740 | test 0.7650
Epoch  150 | loss 0.4358 | val 0.8800 | test 0.7700
Epoch  160 | loss 0.4197 | val 0.8840 | test 0.7740
Epoch  170 | loss 0.4093 | val 0.8820 | test 0.7710
Epoch  180 | loss 0.4039 | val 0.8820 | test 0.7720
Epoch  190 | loss 0.4017 | val 0.8840 | test 0.7720
Epoch  200 | loss 0.4013 | val 0.8860 | test 0.7720
Epoch   10 | loss 2.4669 | val 0.0420 | test 0.0530
Epoch   20 | loss 6.4423 | val 0.0540 | test 0.0580
Epoch   30 | loss 1.6797 | val 0.5140 | test 0.5020
Epoch   40 | loss 1.6593 | val 0.3620 | test 0.3500
Epoch   50 | loss 3.7593 | val 0.2880 | test 0.2820
Epoch   60 | loss 5.5587 | val 0.1020 | test 0.0860
Epoch   70 | loss 1.6025 | val 0.3760 | test 0.3540
Epoch   80 | loss 1.4511 | val 0.5640 | test 0.5110
Epoch   90 | loss 1.4066 | val 0.4900 | test 0.4800
Epoch  100 | loss 1.0500 | val 0.6660 | test 0.5970
Epoch  110 | loss 0.7512 | val 0.7440 | test 0.6840
Epoch  120 | loss 0.6538 | val 0.7800 | test 0.7130
Epoch  130 | loss 0.6032 | val 0.7760 | test 0.7110
Epoch  140 | loss 0.5682 | val 0.7940 | test 0.7300
Epoch  150 | loss 0.5420 | val 0.8220 | test 0.7520
Epoch  160 | loss 0.5235 | val 0.8260 | test 0.7660
Epoch  170 | loss 0.5120 | val 0.8280 | test 0.7710
Epoch  180 | loss 0.5060 | val 0.8240 | test 0.7770
Epoch  190 | loss 0.5037 | val 0.8240 | test 0.7770
Epoch  200 | loss 0.5032 | val 0.8240 | test 0.7770

===== Variant curvada_64 =====
Epoch   10 | loss 292.7226 | val 0.0140 | test 0.0230
Epoch   20 | loss nan | val 0.2880 | test 0.2570
Epoch   30 | loss nan | val 0.2880 | test 0.2570
Epoch   40 | loss nan | val 0.2880 | test 0.2570
Epoch   50 | loss nan | val 0.2880 | test 0.2570
Epoch   60 | loss nan | val 0.2880 | test 0.2570
Epoch   70 | loss nan | val 0.2880 | test 0.2570
Epoch   80 | loss nan | val 0.2880 | test 0.2570
Epoch   90 | loss nan | val 0.2880 | test 0.2570
Epoch  100 | loss nan | val 0.2880 | test 0.2570
Epoch  110 | loss nan | val 0.2880 | test 0.2570
Epoch  120 | loss nan | val 0.2880 | test 0.2570
Epoch  130 | loss nan | val 0.2880 | test 0.2570
Epoch  140 | loss nan | val 0.2880 | test 0.2570
Epoch  150 | loss nan | val 0.2880 | test 0.2570
Epoch  160 | loss nan | val 0.2880 | test 0.2570
Epoch  170 | loss nan | val 0.2880 | test 0.2570
Epoch  180 | loss nan | val 0.2880 | test 0.2570
Epoch  190 | loss nan | val 0.2880 | test 0.2570
Epoch  200 | loss nan | val 0.2880 | test 0.2570
Epoch   10 | loss 263.3519 | val 0.2960 | test 0.2920
Epoch   20 | loss nan | val 0.4060 | test 0.3820
Epoch   30 | loss nan | val 0.4060 | test 0.3820
Epoch   40 | loss nan | val 0.4060 | test 0.3820
Epoch   50 | loss nan | val 0.4060 | test 0.3820
Epoch   60 | loss nan | val 0.4060 | test 0.3820
Epoch   70 | loss nan | val 0.4060 | test 0.3820
Epoch   80 | loss nan | val 0.4060 | test 0.3820
Epoch   90 | loss nan | val 0.4060 | test 0.3820
Epoch  100 | loss nan | val 0.4060 | test 0.3820
Epoch  110 | loss nan | val 0.4060 | test 0.3820
Epoch  120 | loss nan | val 0.4060 | test 0.3820
Epoch  130 | loss nan | val 0.4060 | test 0.3820
Epoch  140 | loss nan | val 0.4060 | test 0.3820
Epoch  150 | loss nan | val 0.4060 | test 0.3820
Epoch  160 | loss nan | val 0.4060 | test 0.3820
Epoch  170 | loss nan | val 0.4060 | test 0.3820
Epoch  180 | loss nan | val 0.4060 | test 0.3820
Epoch  190 | loss nan | val 0.4060 | test 0.3820
Epoch  200 | loss nan | val 0.4060 | test 0.3820
Epoch   10 | loss 276.8664 | val 0.4460 | test 0.4150
Epoch   20 | loss nan | val 0.2080 | test 0.1980
Epoch   30 | loss nan | val 0.2080 | test 0.1980
Epoch   40 | loss nan | val 0.2080 | test 0.1980
Epoch   50 | loss nan | val 0.2080 | test 0.1980
Epoch   60 | loss nan | val 0.2080 | test 0.1980
Epoch   70 | loss nan | val 0.2080 | test 0.1980
Epoch   80 | loss nan | val 0.2080 | test 0.1980
Epoch   90 | loss nan | val 0.2080 | test 0.1980
Epoch  100 | loss nan | val 0.2080 | test 0.1980
Epoch  110 | loss nan | val 0.2080 | test 0.1980
Epoch  120 | loss nan | val 0.2080 | test 0.1980
Epoch  130 | loss nan | val 0.2080 | test 0.1980
Epoch  140 | loss nan | val 0.2080 | test 0.1980
Epoch  150 | loss nan | val 0.2080 | test 0.1980
Epoch  160 | loss nan | val 0.2080 | test 0.1980
Epoch  170 | loss nan | val 0.2080 | test 0.1980
Epoch  180 | loss nan | val 0.2080 | test 0.1980
Epoch  190 | loss nan | val 0.2080 | test 0.1980
Epoch  200 | loss nan | val 0.2080 | test 0.1980

===== Variant curvada_120 =====
Epoch   10 | loss nan | val 0.0620 | test 0.0620
Epoch   20 | loss nan | val 0.0620 | test 0.0620
Epoch   30 | loss nan | val 0.0620 | test 0.0620
Epoch   40 | loss nan | val 0.0620 | test 0.0620
Epoch   50 | loss nan | val 0.0620 | test 0.0620
Epoch   60 | loss nan | val 0.0620 | test 0.0620
Epoch   70 | loss nan | val 0.0620 | test 0.0620
Epoch   80 | loss nan | val 0.0620 | test 0.0620
Epoch   90 | loss nan | val 0.0620 | test 0.0620
Epoch  100 | loss nan | val 0.0620 | test 0.0620
Epoch  110 | loss nan | val 0.0620 | test 0.0620
Epoch  120 | loss nan | val 0.0620 | test 0.0620
Epoch  130 | loss nan | val 0.0620 | test 0.0620
Epoch  140 | loss nan | val 0.0620 | test 0.0620
Epoch  150 | loss nan | val 0.0620 | test 0.0620
Epoch  160 | loss nan | val 0.0620 | test 0.0620
Epoch  170 | loss nan | val 0.0620 | test 0.0620
Epoch  180 | loss nan | val 0.0620 | test 0.0620
Epoch  190 | loss nan | val 0.0620 | test 0.0620
Epoch  200 | loss nan | val 0.0620 | test 0.0620
Epoch   10 | loss nan | val 0.1260 | test 0.1160
Epoch   20 | loss nan | val 0.1260 | test 0.1160
Epoch   30 | loss nan | val 0.1260 | test 0.1160
Epoch   40 | loss nan | val 0.1260 | test 0.1160
Epoch   50 | loss nan | val 0.1260 | test 0.1160
Epoch   60 | loss nan | val 0.1260 | test 0.1160
Epoch   70 | loss nan | val 0.1260 | test 0.1160
Epoch   80 | loss nan | val 0.1260 | test 0.1160
Epoch   90 | loss nan | val 0.1260 | test 0.1160
Epoch  100 | loss nan | val 0.1260 | test 0.1160
Epoch  110 | loss nan | val 0.1260 | test 0.1160
Epoch  120 | loss nan | val 0.1260 | test 0.1160
Epoch  130 | loss nan | val 0.1260 | test 0.1160
Epoch  140 | loss nan | val 0.1260 | test 0.1160
Epoch  150 | loss nan | val 0.1260 | test 0.1160
Epoch  160 | loss nan | val 0.1260 | test 0.1160
Epoch  170 | loss nan | val 0.1260 | test 0.1160
Epoch  180 | loss nan | val 0.1260 | test 0.1160
Epoch  190 | loss nan | val 0.1260 | test 0.1160
Epoch  200 | loss nan | val 0.1260 | test 0.1160
Epoch   10 | loss nan | val 0.2500 | test 0.2480
Epoch   20 | loss nan | val 0.2500 | test 0.2480
Epoch   30 | loss nan | val 0.2500 | test 0.2480
Epoch   40 | loss nan | val 0.2500 | test 0.2480
Epoch   50 | loss nan | val 0.2500 | test 0.2480
Epoch   60 | loss nan | val 0.2500 | test 0.2480
Epoch   70 | loss nan | val 0.2500 | test 0.2480
Epoch   80 | loss nan | val 0.2500 | test 0.2480
Epoch   90 | loss nan | val 0.2500 | test 0.2480
Epoch  100 | loss nan | val 0.2500 | test 0.2480
Epoch  110 | loss nan | val 0.2500 | test 0.2480
Epoch  120 | loss nan | val 0.2500 | test 0.2480
Epoch  130 | loss nan | val 0.2500 | test 0.2480
Epoch  140 | loss nan | val 0.2500 | test 0.2480
Epoch  150 | loss nan | val 0.2500 | test 0.2480
Epoch  160 | loss nan | val 0.2500 | test 0.2480
Epoch  170 | loss nan | val 0.2500 | test 0.2480
Epoch  180 | loss nan | val 0.2500 | test 0.2480
Epoch  190 | loss nan | val 0.2500 | test 0.2480
Epoch  200 | loss nan | val 0.2500 | test 0.2480
==== JSON RESULTS ====
{
  "description": {
    "tag": "depth_stress_cora",
    "dataset": {
      "name": "Cora"
    },
    "variants": [
      {
        "backbone": "GCN",
        "layers": 2,
        "variant": "curvada"
      },
      {
        "backbone": "GCN",
        "layers": 8,
        "variant": "curvada"
      },
      {
        "backbone": "GCN",
        "layers": 32,
        "variant": "curvada"
      },
      {
        "backbone": "GCN",
        "layers": 64,
        "variant": "curvada"
      },
      {
        "backbone": "GCN",
        "layers": 120,
        "variant": "curvada"
      }
    ],
    "seeds": [
      0,
      1,
      2
    ],
    "optim": {
      "lr": 0.005,
      "weight_decay": 0.0005
    },
    "scheduler": {
      "max_epochs": 200
    },
    "curvada": {
      "alpha_init": 1.0,
      "beta_init": 0.0,
      "gamma_init": 1.0
    }
  },
  "curvada_2": {
    "mean": 0.8113333582878113,
    "std": 0.009504381567239761,
    "all": [
      0.802,
      0.821,
      0.811
    ]
  },
  "curvada_8": {
    "mean": 0.7586666941642761,
    "std": 0.00642908550798893,
    "all": [
      0.754,
      0.766,
      0.756
    ]
  },
  "curvada_32": {
    "mean": 0.7703332901000977,
    "std": 0.0020816726610064507,
    "all": [
      0.768,
      0.772,
      0.771
    ]
  },
  "curvada_64": {
    "mean": 0.351333349943161,
    "std": 0.08334466069936752,
    "all": [
      0.257,
      0.382,
      0.415
    ]
  },
  "curvada_120": {
    "mean": 0.1420000046491623,
    "std": 0.09568698704242706,
    "all": [
      0.062,
      0.116,
      0.248
    ]
  }
}
Generated figure → .research/iteration3/images/accuracy_depth_Cora.pdf
=== experiment end Sat Sep  6 04:39:00 UTC 2025 ===
